round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor
1,-0.458552587,0.97025,-0.449847938,0.954,0.1,100,50,<class 'keras.optimizers.Adam'>,80,<function relu at 0x00000229C8B740D0>,200,2
1,-0.402003201,0.912,-0.394930611,0.899,5.1,100,20,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,100,1
1,-0.389136539,0.92075,-0.382874865,0.9055,2.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function relu at 0x00000229C8B740D0>,400,1
1,-0.385219019,0.92775,-0.378112489,0.9205,2.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function relu at 0x00000229C8B740D0>,100,1
1,-0.442894694,0.906,-0.43459093,0.8925,1.1,100,20,<class 'keras.optimizers.RMSprop'>,10,<function selu at 0x00000229C8B63EA0>,400,0
1,-0.447137058,0.9195,-0.439305951,0.90175,0.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function relu at 0x00000229C8B740D0>,100,2
1,-0.46216347,0.9185,-0.453692157,0.908,6.1,100,100,<class 'keras.optimizers.Adam'>,20,<function relu at 0x00000229C8B740D0>,300,2
1,-0.414076301,0.89675,-0.406262112,0.8805,4.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,200,2
1,-0.382711128,0.92425,-0.37467679,0.916,3.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,300,2
1,-0.439044805,0.9245,-0.429511612,0.91075,4.1,100,50,<class 'keras.optimizers.RMSprop'>,40,<function relu at 0x00000229C8B740D0>,200,2
1,-0.439935239,0.91575,-0.433005467,0.90075,5.1,100,20,<class 'keras.optimizers.RMSprop'>,80,<function selu at 0x00000229C8B63EA0>,300,2
1,-0.384180509,0.86,-0.369517948,0.8545,3.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,400,1
1,-0.438096962,0.903,-0.431045495,0.8945,1.1,100,50,<class 'keras.optimizers.Adam'>,10,<function selu at 0x00000229C8B63EA0>,100,2
1,-0.434330509,0.90725,-0.42893974,0.901,5.1,100,100,<class 'keras.optimizers.Adam'>,80,<function selu at 0x00000229C8B63EA0>,100,2
1,-0.470544019,0.9325,-0.464342292,0.9225,5.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function elu at 0x00000229C8B63E18>,100,1
1,-0.459113752,0.93575,-0.450690477,0.92525,2.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function relu at 0x00000229C8B740D0>,200,1
1,-0.437114333,0.9085,-0.428156105,0.8965,7.1,100,50,<class 'keras.optimizers.Adam'>,40,<function selu at 0x00000229C8B63EA0>,300,2
